epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.45692,5.33182,3.82115,3.01185,0,0,0,0,5.48649,3.95995,2.73368,0.00012,0.00012,0.00012
2,3.57174,4.85496,3.62055,2.52188,0,0,0,0,5.777,3.9892,3.09879,0.000257426,0.000257426,0.000257426
3,4.76448,4.17398,3.54724,2.03165,0,0,0,0,4.84603,3.88741,2.44281,0.00039208,0.00039208,0.00039208
4,5.80416,3.97054,3.24726,1.77619,0,0,0,0,3.96251,3.79277,1.9704,0.000523962,0.000523962,0.000523962
5,6.94925,3.59148,3.13839,1.73232,0,0,0,0,3.54906,3.74851,1.76928,0.000653072,0.000653072,0.000653072
6,7.99223,3.5831,2.97207,1.63095,0.01065,0.77778,0.01039,0.00299,3.2497,3.463,1.58284,0.00077941,0.00077941,0.00077941
7,8.85675,3.29988,2.76007,1.54087,0.01019,0.92593,0.02067,0.00568,3.06678,3.0412,1.49026,0.000902976,0.000902976,0.000902976
8,9.79693,3.27425,2.54965,1.45263,0.01185,0.88889,0.1477,0.03073,3.15631,2.62328,1.53333,0.00102377,0.00102377,0.00102377
9,10.7789,3.29862,2.51343,1.48071,0.02174,0.7037,0.07287,0.01684,3.30698,2.86696,1.61843,0.00114179,0.00114179,0.00114179
10,11.772,3.26525,2.37109,1.54613,0.01456,0.33333,0.03034,0.008,3.54223,3.54978,1.80312,0.00125704,0.00125704,0.00125704
11,12.7284,3.20928,2.32241,1.49845,0.03627,0.51852,0.0902,0.02122,3.33742,2.86586,1.64368,0.00136952,0.00136952,0.00136952
12,13.7296,3.24295,2.37717,1.45422,0.01811,0.07407,0.00827,0.00138,4.674,2.9645,2.50679,0.00147923,0.00147923,0.00147923
13,14.6556,3.26895,2.16747,1.44402,0.07932,0.07407,0.01315,0.0027,4.49877,2.79743,2.40209,0.00158616,0.00158616,0.00158616
14,15.5874,3.11461,2.17015,1.35811,0.13842,0.03704,0.04538,0.00584,3.99732,3.12425,2.229,0.00169032,0.00169032,0.00169032
15,16.557,3.07035,2.07126,1.37045,0.12132,0.11111,0.04506,0.00896,3.79182,2.85198,2.07441,0.0017228,0.0017228,0.0017228
16,17.545,3.05241,2.0634,1.36983,0.18066,0.22222,0.12427,0.02383,3.43699,2.34094,1.76098,0.001703,0.001703,0.001703
17,18.5358,2.95011,1.96046,1.33518,0.16249,0.25926,0.11257,0.02382,3.22379,2.27143,1.59244,0.0016832,0.0016832,0.0016832
18,19.7499,2.99773,2.05789,1.39448,0.16982,0.44444,0.14028,0.03318,2.83926,2.36341,1.43913,0.0016634,0.0016634,0.0016634
